,word,audio,defination,example,synonyms
0,Vigorous,https://lex-audio.useremarkable.com/mp3/vigorous_us_1.mp3,"Strong, healthy, and full of energy.","A tall, vigorous, and muscular man","'robust', 'healthy', 'in good health', 'hale and hearty', 'strong', 'strong as an horse', 'strong as an lion', 'strong as an ox', 'sturdy', 'fine', 'fit', 'in good condition', 'in tip-top condition', 'in good shape', 'in good trim', 'in good kilter'"
1,Avalanche,https://lex-audio.useremarkable.com/mp3/avalanche_us_1.mp3,"A mass of snow, ice, and rocks falling rapidly down a mountainside.",He was swept to his death by an avalanche in 1988,"'snowslide', 'snow slip'"
2,Sketch,https://lex-audio.useremarkable.com/mp3/sketch_us_1.mp3,Make a rough drawing of.,"As they talked, modigliani began to sketch her","'draw', 'make a drawing of', 'draw a picture of', 'depict', 'portray', 'represent', 'delineate', 'pencil'"
3,React,https://lex-audio.useremarkable.com/mp3/react_us_1.mp3,Respond or behave in a particular way in response to something.,He reacted angrily to the news of his dismissal,"'behave', 'act', 'take it', 'conduct oneself', 'proceed'"
